uid,time,region,latitude,longitude
1,1,81,37.77349784,-122.457578
1,2,83,37.77323314,-122.40710390000001
1,3,83,37.77323314,-122.40710390000001
1,4,83,37.77323314,-122.40710390000001
1,5,81,37.77349784,-122.457578
1,6,81,37.77349784,-122.457578
1,7,83,37.77323314,-122.40710390000001
1,8,83,37.77323314,-122.40710390000001
1,9,25,37.70919842,-122.41021529999999
1,10,83,37.77323314,-122.40710390000001
1,11,25,37.70919842,-122.41021529999999
1,12,25,37.70919842,-122.41021529999999
1,13,83,37.77323314,-122.40710390000001
1,14,83,37.77323314,-122.40710390000001
1,15,81,37.77349784,-122.457578
1,16,81,37.77349784,-122.457578
1,17,83,37.77323314,-122.40710390000001
1,18,83,37.77323314,-122.40710390000001
1,19,83,37.77323314,-122.40710390000001
1,20,83,37.77323314,-122.40710390000001
1,21,81,37.77349784,-122.457578
1,22,83,37.77323314,-122.40710390000001
1,23,81,37.77349784,-122.457578
1,24,81,37.77349784,-122.457578
2,1,83,37.77323314,-122.40710390000001
2,2,81,37.77349784,-122.457578
2,3,83,37.77323314,-122.40710390000001
2,4,83,37.77323314,-122.40710390000001
2,5,83,37.77323314,-122.40710390000001
2,6,83,37.77323314,-122.40710390000001
2,7,81,37.77349784,-122.457578
2,8,83,37.77323314,-122.40710390000001
2,9,83,37.77323314,-122.40710390000001
2,10,83,37.77323314,-122.40710390000001
2,11,83,37.77323314,-122.40710390000001
2,12,83,37.77323314,-122.40710390000001
2,13,83,37.77323314,-122.40710390000001
2,14,81,37.77349784,-122.457578
2,15,83,37.77323314,-122.40710390000001
2,16,83,37.77323314,-122.40710390000001
2,17,83,37.77323314,-122.40710390000001
2,18,83,37.77323314,-122.40710390000001
2,19,83,37.77323314,-122.40710390000001
2,20,24,37.70854717,-122.4559196
2,21,81,37.77349784,-122.457578
2,22,81,37.77349784,-122.457578
2,23,83,37.77323314,-122.40710390000001
2,24,83,37.77323314,-122.40710390000001
3,1,83,37.77323314,-122.40710390000001
3,2,83,37.77323314,-122.40710390000001
3,3,83,37.77323314,-122.40710390000001
3,4,83,37.77323314,-122.40710390000001
3,5,83,37.77323314,-122.40710390000001
3,6,83,37.77323314,-122.40710390000001
3,7,83,37.77323314,-122.40710390000001
3,8,83,37.77323314,-122.40710390000001
3,9,83,37.77323314,-122.40710390000001
3,10,83,37.77323314,-122.40710390000001
3,11,83,37.77323314,-122.40710390000001
3,12,83,37.77323314,-122.40710390000001
3,13,83,37.77323314,-122.40710390000001
3,14,83,37.77323314,-122.40710390000001
3,15,83,37.77323314,-122.40710390000001
3,16,83,37.77323314,-122.40710390000001
3,17,83,37.77323314,-122.40710390000001
3,18,83,37.77323314,-122.40710390000001
3,19,83,37.77323314,-122.40710390000001
3,20,83,37.77323314,-122.40710390000001
3,21,83,37.77323314,-122.40710390000001
3,22,83,37.77323314,-122.40710390000001
3,23,83,37.77323314,-122.40710390000001
3,24,83,37.77323314,-122.40710390000001
4,1,83,37.77323314,-122.40710390000001
4,2,24,37.70854717,-122.4559196
4,3,83,37.77323314,-122.40710390000001
4,4,82,37.8142498,-122.3562592
4,5,83,37.77323314,-122.40710390000001
4,6,81,37.77349784,-122.457578
4,7,83,37.77323314,-122.40710390000001
4,8,83,37.77323314,-122.40710390000001
4,9,83,37.77323314,-122.40710390000001
4,10,83,37.77323314,-122.40710390000001
4,11,83,37.77323314,-122.40710390000001
4,12,83,37.77323314,-122.40710390000001
4,13,83,37.77323314,-122.40710390000001
4,14,81,37.77349784,-122.457578
4,15,83,37.77323314,-122.40710390000001
4,16,83,37.77323314,-122.40710390000001
4,17,83,37.77323314,-122.40710390000001
4,18,83,37.77323314,-122.40710390000001
4,19,30,37.64316465,-122.4087047
4,20,25,37.70919842,-122.41021529999999
4,21,83,37.77323314,-122.40710390000001
4,22,83,37.77323314,-122.40710390000001
4,23,24,37.70854717,-122.4559196
4,24,83,37.77323314,-122.40710390000001
5,1,83,37.77323314,-122.40710390000001
5,2,83,37.77323314,-122.40710390000001
5,3,83,37.77323314,-122.40710390000001
5,4,83,37.77323314,-122.40710390000001
5,5,24,37.70854717,-122.4559196
5,6,83,37.77323314,-122.40710390000001
5,7,20,37.76474543,-122.49887460000001
5,8,81,37.77349784,-122.457578
5,9,30,37.64316465,-122.4087047
5,10,81,37.77349784,-122.457578
5,11,81,37.77349784,-122.457578
5,12,83,37.77323314,-122.40710390000001
5,13,83,37.77323314,-122.40710390000001
5,14,83,37.77323314,-122.40710390000001
5,15,81,37.77349784,-122.457578
5,16,83,37.77323314,-122.40710390000001
5,17,81,37.77349784,-122.457578
5,18,83,37.77323314,-122.40710390000001
5,19,83,37.77323314,-122.40710390000001
5,20,83,37.77323314,-122.40710390000001
5,21,83,37.77323314,-122.40710390000001
5,22,81,37.77349784,-122.457578
5,23,83,37.77323314,-122.40710390000001
5,24,83,37.77323314,-122.40710390000001
6,1,83,37.77323314,-122.40710390000001
6,2,81,37.77349784,-122.457578
6,3,30,37.64316465,-122.4087047
6,4,83,37.77323314,-122.40710390000001
6,5,81,37.77349784,-122.457578
6,6,83,37.77323314,-122.40710390000001
6,7,83,37.77323314,-122.40710390000001
6,8,24,37.70854717,-122.4559196
6,9,83,37.77323314,-122.40710390000001
6,10,83,37.77323314,-122.40710390000001
6,11,81,37.77349784,-122.457578
6,12,81,37.77349784,-122.457578
6,13,30,37.64316465,-122.4087047
6,14,81,37.77349784,-122.457578
6,15,83,37.77323314,-122.40710390000001
6,16,83,37.77323314,-122.40710390000001
6,17,81,37.77349784,-122.457578
6,18,83,37.77323314,-122.40710390000001
6,19,83,37.77323314,-122.40710390000001
6,20,85,37.7852715,-122.22125290000001
6,21,83,37.77323314,-122.40710390000001
6,22,83,37.77323314,-122.40710390000001
6,23,83,37.77323314,-122.40710390000001
6,24,83,37.77323314,-122.40710390000001
7,1,15,37.81042875,-122.3102179
7,2,83,37.77323314,-122.40710390000001
7,3,83,37.77323314,-122.40710390000001
7,4,81,37.77349784,-122.457578
7,5,83,37.77323314,-122.40710390000001
7,6,83,37.77323314,-122.40710390000001
7,7,83,37.77323314,-122.40710390000001
7,8,81,37.77349784,-122.457578
7,9,83,37.77323314,-122.40710390000001
7,10,83,37.77323314,-122.40710390000001
7,11,83,37.77323314,-122.40710390000001
7,12,81,37.77349784,-122.457578
