sampling,user,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20,1,0.996659,0.994071,0.994026,0.993408,0.996728,0.996481,0.992073,0.990795,0.929794,0.991741,0.985624,0.985695,0.896043,0.993227,0.99469,0.995114,0.993973,0.994261,0.99442,0.849713,0.995288,0.992285,0.996035,0.996335
20,2,0.950229,0.99797,0.948134,0.947185,0.931449,0.926584,0.997062,0.992087,0.905317,0.985304,0.984294,0.983214,0.994297,0.993415,0.974761,0.854529,0.968187,0.969293,0.969775,0.995878,0.992432,0.994285,0.970455,0.967368
20,3,0.928979,0.902461,0.907023,0.883123,0.887237,0.858123,0.877731,0.994926,0.99239,0.994455,0.994176,0.994367,0.990509,0.982946,0.97906,0.971233,0.793622,0.965402,0.96534,0.994792,0.982454,0.969355,0.959394,0.948619
20,4,0.896014,0.996562,0.88099,0.996594,0.836503,0.997705,0.821459,0.819075,0.989821,0.980232,0.811548,0.965229,0.993845,0.802392,0.992285,0.99235,0.992442,0.992152,0.994796,0.992315,0.981862,0.965284,0.994476,0.926731
20,5,0.897904,0.892172,0.95561,0.953636,0.996266,0.948757,0.996287,0.996189,0.814254,0.990073,0.991682,0.995211,0.992745,0.986464,0.774952,0.974242,0.978652,0.759641,0.960531,0.993699,0.727999,0.993532,0.971632,0.97216
20,6,0.765911,0.995201,0.994599,0.868754,0.994896,0.919244,0.93385,0.642282,0.99421,0.994037,0.626026,0.978275,0.618046,0.993807,0.614415,0.984139,0.99547,0.985257,0.985524,0.994047,0.585083,0.697678,0.777732,0.833562
20,7,0.928936,0.828696,0.825883,0.998122,0.871268,0.904393,0.901074,0.910289,0.995164,0.993081,0.993418,0.881588,0.992054,0.99101,0.9923,0.844661,0.947356,0.944094,0.940655,0.81088,0.978728,0.852803,0.970596,0.882613
20,8,0.896994,0.893807,0.941639,0.934788,0.938743,0.959523,0.930234,0.994469,0.988481,0.988846,0.988423,0.991968,0.990303,0.891534,0.975033,0.888434,0.877503,0.949928,0.942108,0.994135,0.985802,0.836311,0.914997,0.90766
20,9,0.533123,0.57968,0.615043,0.996647,0.997219,0.996919,0.99663,0.901378,0.98147,0.989927,0.991403,0.991563,0.995749,0.98511,0.99251,0.81946,0.952847,0.953543,0.949748,0.994198,0.80685,0.993263,0.992879,0.992926
20,10,0.97423,0.909358,0.911637,0.950262,0.946091,0.97782,0.99427,0.928147,0.988006,0.911565,0.989334,0.988373,0.989327,0.983429,0.978047,0.861346,0.851522,0.846719,0.950119,0.838257,0.983878,0.979933,0.976677,0.815167
40,1,0.837967,0.600547,0.564127,0.528427,0.788663,0.83329,0.4676,0.4643,0.991591,0.720795,0.99671,0.996477,0.990993,0.83238,0.993121,0.993595,0.955091,0.952185,0.80543,0.994454,0.983442,0.960266,0.96101,0.756148
40,2,0.629116,0.972815,0.567472,0.536102,0.562007,0.581034,0.965594,0.993091,0.587962,0.57748,0.56688,0.556569,0.9952,0.54554,0.986774,0.982171,0.977588,0.537884,0.972809,0.540441,0.989782,0.987454,0.49178,0.539961
40,3,0.411427,0.357181,0.302781,0.248144,0.193489,0.138016,0.124062,0.998842,0.997448,0.128434,0.996168,0.996113,0.12692,0.12615,0.125261,0.124394,0.123529,0.122673,0.121823,0.997876,0.995315,0.9918,0.98732,0.981935
40,4,0.732286,0.949898,0.778607,0.993335,0.82602,0.958941,0.849929,0.945855,0.936172,0.926886,0.917255,0.907646,0.899491,0.989681,0.970216,0.966143,0.945804,0.962837,0.956568,0.991207,0.920827,0.918953,0.976422,0.904314
